epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,11589.1,0.7668,1.45666,0.55016,0.58988,0.05511,0.09427,0.0489,0.6377,1.25621,0.53795,0.003862,0.003862,0.003862
64,11772.8,0.80279,1.44407,0.56472,0.59109,0.06061,0.09312,0.0501,0.63612,1.25063,0.53626,0.003763,0.003763,0.003763
65,11959.5,0.75904,1.40233,0.54682,0.60429,0.05673,0.09299,0.05041,0.63693,1.2561,0.53803,0.003664,0.003664,0.003664
66,12144.3,0.75034,1.39894,0.54293,0.60185,0.05835,0.09263,0.05034,0.63708,1.25966,0.53861,0.003565,0.003565,0.003565
67,12329.8,0.76359,1.39995,0.54443,0.59741,0.05835,0.09251,0.0497,0.64091,1.2592,0.54163,0.003466,0.003466,0.003466
68,12515.3,0.7962,1.45185,0.5681,0.60361,0.06862,0.09227,0.04946,0.64228,1.26045,0.54281,0.003367,0.003367,0.003367
69,12701.5,0.77057,1.41389,0.54975,0.59878,0.07039,0.09057,0.04882,0.64525,1.26311,0.54306,0.003268,0.003268,0.003268
70,12886.5,0.79219,1.45867,0.57351,0.59879,0.07139,0.09054,0.04881,0.64585,1.26298,0.54332,0.003169,0.003169,0.003169
71,13070.3,0.75065,1.38661,0.53355,0.5988,0.06977,0.09035,0.05021,0.64587,1.26207,0.54145,0.00307,0.00307,0.00307
72,13255.7,0.75179,1.37776,0.54116,0.59882,0.06977,0.09091,0.04904,0.64587,1.26115,0.54087,0.002971,0.002971,0.002971
73,13440.5,0.77353,1.43152,0.55331,0.6011,0.07139,0.09127,0.04915,0.64508,1.26188,0.54058,0.002872,0.002872,0.002872
74,13623.4,0.74681,1.36034,0.53189,0.59882,0.07162,0.09164,0.05015,0.64582,1.26227,0.54098,0.002773,0.002773,0.002773
75,13807.5,0.76106,1.39658,0.54933,0.59626,0.0715,0.09141,0.04991,0.64665,1.2643,0.54074,0.002674,0.002674,0.002674
76,13994.5,0.78106,1.45242,0.56578,0.59618,0.07139,0.09164,0.04937,0.64579,1.26423,0.54074,0.002575,0.002575,0.002575
77,14180.1,0.74899,1.41572,0.55062,0.59406,0.07139,0.09144,0.04992,0.64679,1.26331,0.54035,0.002476,0.002476,0.002476
78,14367.5,0.78478,1.44135,0.56519,0.59677,0.07463,0.09177,0.04996,0.64685,1.26162,0.54065,0.002377,0.002377,0.002377
79,14556.3,0.74968,1.38393,0.53839,0.59613,0.07419,0.09098,0.04937,0.64676,1.26096,0.54021,0.002278,0.002278,0.002278
80,14744.5,0.73267,1.38941,0.53375,0.59562,0.07301,0.09091,0.04969,0.64643,1.26104,0.54042,0.002179,0.002179,0.002179
81,14935.4,0.76514,1.39116,0.55466,0.59571,0.07139,0.09072,0.04992,0.64645,1.26181,0.54052,0.00208,0.00208,0.00208
82,15123.7,0.74885,1.37685,0.5448,0.59505,0.07148,0.09099,0.04986,0.64537,1.25978,0.53929,0.001981,0.001981,0.001981
83,15306.6,0.77786,1.41471,0.55688,0.59737,0.07139,0.09207,0.05021,0.64479,1.26025,0.53911,0.001882,0.001882,0.001882
84,15490,0.75656,1.41321,0.54572,0.59379,0.07183,0.09113,0.04979,0.64549,1.26065,0.53921,0.001783,0.001783,0.001783
85,15671.8,0.72702,1.34043,0.5252,0.59357,0.07301,0.09123,0.05162,0.64556,1.25977,0.53887,0.001684,0.001684,0.001684
86,15853.8,0.75832,1.36826,0.54374,0.59282,0.07139,0.0914,0.05191,0.64422,1.26094,0.5384,0.001585,0.001585,0.001585
87,16035.7,0.71518,1.34447,0.51688,0.59185,0.07139,0.09125,0.05174,0.64388,1.26212,0.53798,0.001486,0.001486,0.001486
88,16217.7,0.73984,1.35115,0.53379,0.59226,0.07139,0.09124,0.05147,0.64314,1.26294,0.53771,0.001387,0.001387,0.001387
89,16399.5,0.71316,1.3048,0.52185,0.59155,0.07145,0.09122,0.05139,0.64305,1.26196,0.53847,0.001288,0.001288,0.001288
90,16582.2,0.73036,1.35321,0.5329,0.59288,0.07139,0.09107,0.05136,0.64277,1.26277,0.53856,0.001189,0.001189,0.001189
91,16759.6,0.57429,1.08966,0.44974,0.592,0.07088,0.0906,0.05087,0.64343,1.26336,0.53895,0.00109,0.00109,0.00109
92,16935.2,0.56086,1.06138,0.43261,0.59056,0.06977,0.09061,0.05093,0.64351,1.26438,0.53907,0.000991,0.000991,0.000991
93,17112.1,0.5621,1.05906,0.43812,0.59117,0.07036,0.09059,0.05075,0.64286,1.26623,0.53844,0.000892,0.000892,0.000892
94,17288.4,0.57081,1.07118,0.44423,0.58794,0.07139,0.09079,0.05075,0.64268,1.26672,0.53857,0.000793,0.000793,0.000793
95,17465.6,0.565,1.05407,0.4413,0.59058,0.06977,0.09099,0.05092,0.6433,1.26736,0.53874,0.000694,0.000694,0.000694
96,17641.8,0.56448,1.046,0.44315,0.58959,0.07069,0.09061,0.05078,0.64294,1.26876,0.53885,0.000595,0.000595,0.000595
97,17818.7,0.53854,1.03329,0.42661,0.59178,0.07301,0.09078,0.05071,0.64338,1.26878,0.53892,0.000496,0.000496,0.000496
98,17995.6,0.56346,1.04864,0.44099,0.59103,0.07301,0.09064,0.05077,0.6435,1.2688,0.53898,0.000397,0.000397,0.000397
99,18172.8,0.55607,1.02995,0.43769,0.59087,0.07301,0.09063,0.05062,0.64355,1.26949,0.53931,0.000298,0.000298,0.000298
100,18349.8,0.54485,1.02216,0.43149,0.59117,0.07301,0.09074,0.05067,0.64408,1.26936,0.53995,0.000199,0.000199,0.000199
